transaction_id,customer_name,product_name,quantity,unit_price,transaction_date,email,phone,region
1,Customer 1,Product B,2,65.5,2026-04-02,customer1@email.com,919876543201,South
2,Customer 2,Product C,3,81.0,2026-04-03,customer2@email.com,919876543202,East
3,Customer 3,Product D,4,96.5,2026-04-04,customer3@email.com,919876543203,West
4,Customer 4,Product E,5,112.0,2026-04-05,customer4@email.com,919876543204,North
5,Customer 5,Product A,6,127.5,2026-04-06,customer5@email.com,919876543205,South
6,Customer 6,Product B,7,143.0,2026-04-07,customer6@email.com,919876543206,East
7,Customer 7,Product C,8,158.5,2026-04-08,customer7@email.com,919876543207,West
8,Customer 8,Product D,9,174.0,2026-04-09,customer8@email.com,919876543208,North
9,Customer 9,Product E,10,189.5,2026-04-10,customer9@email.com,919876543209,South
10,Customer 10,Product A,1,205.0,2026-04-11,customer10@email.com,919876543210,East
11,Customer 11,Product B,2,220.5,2026-04-12,customer11@email.com,919876543211,West
12,Customer 12,Product C,3,236.0,2026-04-13,customer12@email.com,919876543212,North
13,Customer 13,Product D,4,251.5,2026-04-14,customer13@email.com,919876543213,South
14,Customer 14,Product E,5,267.0,2026-04-15,customer14@email.com,919876543214,East
15,Customer 15,Product A,6,282.5,2026-04-16,customer15@email.com,919876543215,West
